UUID_FAMILY;ORIGGPCD;UUID_CONTENT;LANG;ORIGGPFR
0B57DF8F-1010-4C39-91EC-0174A6FD3451;14.3;1AD53A26-37D6-4491-A957-B63F5811BB3F;fr_FR;Crustacés et mollusques, cuits
69D29925-1578-4BBD-8063-1A08C84943E2;14.4;0B6D21EE-A858-4853-AEB7-CB77BC4518C6;fr_FR;Autres produits à bases de crustacés et mollusques
7252147B-DFDB-47D9-993E-E4AA382AF9C5;15.1;23E7EDD3-D2B3-4F6F-8E62-6A7A53F4482A;fr_FR;Légumes crus
B1B56A71-1865-45C0-98AE-DA8BA7D2F8BE;15.2;56CFF58B-B44E-4C5D-AF45-B278EF190102;fr_FR;Légumes cuits
BFCCCD39-5E78-440D-B7E9-7E0C6A0AC016;15.3;9DEC6A60-0205-4324-A86E-88B7CB91C2DB;fr_FR;Légumes séchés ou déshydratés
0D2129A9-D495-4FD7-8BF6-12294C85B322;16.1;1D70ED4A-40A1-4301-99B9-0EBE1558B95A;fr_FR;Légumes secs frais
C2D0B824-1BD4-4D15-8598-C3360FCD209F;16.2;389C8379-10D2-49E5-977F-E6253D04EAF9;fr_FR;Légumes secs séchés ou déshydratés
436038FC-7BDC-4A1D-9555-3F4509428C3D;16.3;71350D83-A167-46EC-9126-1521945D2B9D;fr_FR;Légumes secs cuits
88CCB037-737A-4CD7-B653-71EE88BB3F2D;17;2E7EBD4D-A25B-451E-AB2D-9E41A4BC5C05;fr_FR;Pommes de terre et autres tubercules
20556CDE-C09A-4141-BA92-62A68C7F6554;18.1;FF88336A-4C4B-437E-B04C-8FC558DABD87;fr_FR;Fruits crus
EA0D1C5E-3922-4053-8B38-00CC5CA7186A;18.2;F1ADA893-6493-4E6F-84DC-F115853DD6BC;fr_FR;Fruits séchés ou lyophilisés
047791AE-7FBE-4BEA-94A9-DD850D561BA8;18.3;1A86E909-C732-4F7D-A07F-258F552376FC;fr_FR;Fruits appertisés, au sirop ou au jus
