UUID_FAMILY;ORIGGPCD;ORIGGPFR;UUID_INGREDIENT;ORIGFDCD;UUID_CONTENT;LANG;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;3FC14441-10B9-442D-95C1-BC62E1DE1E0B;39401;810A4BF3-6438-4CEE-85EA-782FFADEE15B;fr_FR;Pêche melba;506;120;507;121;                73.6;                1.91;                1.87;                18.4;                4.03;                17.1;               0.051;                1.54;0;                0.53;0;0;                1.78;                1.53;                0.45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                10.2;               0.033;                36.5;-;               0.093;                0.57;                11.2;                19.4;                 0.2;                49.7;172;                0.31;                13.2;                0.33;                29.4;132;               0.028;                1.26;-;-;                15.7;               0.031;               0.088;                0.51;                 0.2;               0.042;                13.6;               0.078
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;307B6B89-8B39-4A9E-B9E3-1BB9F732F9DF;39502;22CE4678-7FA7-46F0-A3A5-4C009B818EA9;fr_FR;Dessert glacé type mystère ou vacherin;951;226;952;227;                56.8;                3.02;                2.95;                34.7;                8.12;                31.2;< 0.35;                1.21;0;                0.39;0;0;                4.02;                1.56;                0.24;                0.21;                0.13;                0.09;                0.17;                0.21;                0.67;                 1.9;                0.59;                1.27;                0.15;                0.03;                0.01;< 0.01;< 0.01;                27.7;               0.096;38;                57.9;                0.02;                0.25;< 20;9;                0.38;40;120;< 20;                38.3;                0.18;                44.3;< 5;-;                0.29;< 0.8;-;                 3.6;               0.022;                0.11;                1.37;                0.28;               0.036;                18.7;                0.24
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;33B606AC-6D0B-42BB-AB95-FB09EF7EED68;39512;AAB0DBA5-9F00-4493-B93C-440B6231E50D;fr_FR;Dessert glacé, type sundae;963;230;964;230;                54.4;                2.57;                2.52;                32.6;                 9.7;                24.9;-;< 2;0;                0.73;0;0;                 6.8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                0.24;-;158;-;-;-;-;-;-;-;-;                97.2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;9C33676E-FE55-49AD-9B29-B3284F4ADF82;39516;153954D6-2FEE-4A9C-9D35-944E4E268CA5;fr_FR;Dessert glacé feuilleté, à partager;1090;262;1090;262;                54.2;                2.71;                2.65;                26.2;                16.1;                21.9;-;                0.94;0;                 0.6;0;0;                13.3;                1.52;                 0.4;-;-;-;                0.46;                7.21;                3.12;                1.73;                0.76;                1.18;                0.33;               0.075;0;0;             0.00011;-;                0.18;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;3A4CDBBD-B25D-4E54-9A16-C45E126BFE4B;39518;F6929BAB-BC85-4AA4-91EF-F1097DD03FC5;fr_FR;Omelette norvégienne;1060;251;1060;251;                41.5;                2.68;                2.68;                44.9;                5.79;31;                5.59;                4.29;0;                0.88;0;0;                4.11;                1.08;                0.28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                61.5;                0.18;                67.7;-;               0.068;                0.46;                11.4;                15.9;                0.11;106;131;                1.61;                71.9;                0.32;119;                38.4;               0.083;                0.43;-;-;                1.97;               0.034;                0.16;                0.19;                0.39;                0.04;                15.6;                0.23
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;39DFDD01-3C7D-4E26-9527-D7476B99A0F2;39519;18033479-9A13-4101-8070-091EFC015A74;fr_FR;Poire belle Hélène;822;196;823;197;                60.7;                2.74;                2.68;                23.5;                9.57;21;                0.61;                2.76;0;                0.71;0;0;                5.19;                3.31;                0.58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;               0.039;                49.3;-;                 0.2;                2.43;                4.16;                35.3;                0.21;                70.2;176;                0.76;                15.7;                0.49;                30.1;                22.5;                0.48;                1.19;-;-;                1.82;               0.039;               0.091;                0.32;                0.19;               0.038;                7.76;               0.077
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;185E8BCC-63D0-46EB-910F-C2C9BE7EA0A4;39529;0ACEAE25-F1A4-4BBF-8258-6C8BB6B9BB5B;fr_FR;Nougat glacé;1090;262;1100;262;                52.3;                4.83;                4.73;                26.2;                14.9;                20.2;< 0.35;                2.17;0;                 0.7;0;0;                7.34;               0.026;                2.19;                0.16;                0.11;               0.079;                0.17;                 0.2;                0.64;                2.34;                0.72;-;                1.96;               0.026;< 0.00028;< 0.00028;< 0.00028;                22.7;                0.13;95;200;                0.15;                0.54;< 20;43;                0.29;120;230;< 20;                49.7;                0.47;                62.2;27;-;                3.18;                1.22;-;< 0.5;               0.036;                0.16;                0.25;                0.52;               0.051;                17.5;                0.24
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;43288838-B6B8-42BC-9C95-333025B71318;39530;676D610E-C75F-4903-8B5F-0B5B265CD9F6;fr_FR;Citron givré ou Orange givrée (sorbet);563;133;563;133;-;                0.14;                0.14;                29.1;                1.77;                24.4;-;traces;0;               0.034;0;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.034;-;-;-;-;-;-;-;-;-;-;                13.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;C9B10370-4F31-478C-9513-F45B62993773;39532;818FFC30-CF76-4D5F-96E4-7FDC6125A273;fr_FR;Coupe glacée type café ou chocolat liégeois;923;220;924;221;-;                3.04;                2.98;                28.6;10;                25.6;-;                1.82;0;                0.12;0;0;                7.74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                0.12;-;-;-;-;-;-;-;-;-;-;                47.4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4867AFFA-A224-45DA-8C0E-2AD385D4DB72;32.3;Desserts glacés;6FF4AC0C-B555-455E-89BF-236B76AB3CDF;39533;1101A553-DE91-405D-AA95-F243C6B7337D;fr_FR;Bûche glacée;948;226;949;226;-;                2.47;                2.42;30;                10.4;                25.6;-;                1.54;0;                0.19;0;0;                 7.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                0.19;-;-;-;-;-;-;-;-;-;-;                74.8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
